央视高清,#genre#
CCTV-1综合,http://121.29.169.138:7777/rtp/239.253.92.83:8012
CCTV-1综合,http://121.29.169.138:8888/rtp/239.253.92.83:8012
CCTV-1综合,http://121.29.169.227:7777/rtp/239.253.92.83:8012
CCTV-1综合,http://121.29.169.227:8888/rtp/239.253.92.83:8012
CCTV-1综合,http://121.29.169.26:7777/rtp/239.253.92.83:8012
CCTV-1综合,http://121.29.169.26:8888/rtp/239.253.92.83:8012
CCTV-1综合,http://121.29.215.203:7777/rtp/239.253.92.83:8012
CCTV-1综合,http://121.29.215.203:8888/rtp/239.253.92.83:8012
CCTV-2财经,http://121.29.169.138:7777/rtp/239.253.92.190:6065
CCTV-2财经,http://121.29.169.138:8888/rtp/239.253.92.190:6065
CCTV-2财经,http://121.29.169.227:7777/rtp/239.253.92.190:6065
CCTV-2财经,http://121.29.169.227:8888/rtp/239.253.92.190:6065
CCTV-2财经,http://121.29.169.26:7777/rtp/239.253.92.190:6065
CCTV-2财经,http://121.29.169.26:8888/rtp/239.253.92.190:6065
CCTV-2财经,http://121.29.215.203:7777/rtp/239.253.92.190:6065
CCTV-2财经,http://121.29.215.203:8888/rtp/239.253.92.190:6065
CCTV-3综艺,http://121.29.169.138:7777/rtp/239.253.92.191:6057
CCTV-3综艺,http://121.29.169.138:8888/rtp/239.253.92.191:6057
CCTV-3综艺,http://121.29.169.227:7777/rtp/239.253.92.191:6057
CCTV-3综艺,http://121.29.169.227:8888/rtp/239.253.92.191:6057
CCTV-3综艺,http://121.29.169.26:7777/rtp/239.253.92.191:6057
CCTV-3综艺,http://121.29.169.26:8888/rtp/239.253.92.191:6057
CCTV-3综艺,http://121.29.215.203:7777/rtp/239.253.92.191:6057
CCTV-3综艺,http://121.29.215.203:8888/rtp/239.253.92.191:6057
CCTV-4中文国际,http://121.29.169.138:7777/rtp/239.253.92.251:6141
CCTV-4中文国际,http://121.29.169.138:8888/rtp/239.253.92.251:6141
CCTV-4中文国际,http://121.29.169.227:7777/rtp/239.253.92.251:6141
CCTV-4中文国际,http://121.29.169.227:8888/rtp/239.253.92.251:6141
CCTV-4中文国际,http://121.29.169.26:7777/rtp/239.253.92.251:6141
CCTV-4中文国际,http://121.29.169.26:8888/rtp/239.253.92.251:6141
